CPE,mean,std,max,median,p05,p95,iqr,missing_pct,pct_zero,hora_pico,mean_noite,mean_dia,ratio_noite_dia,amplitude_horaria,diff_utilizacao_nao_utilizacao,tem_dias_nao_utilizacao,hora_pico_utilizacao,hora_pico_nao_utilizacao,diff_weekday_weekend,cv,cv_diario,autocorr_lag1,autocorr_lag96,tendencia_slope,tendencia_norm,cv_mensal
PT0002000033074862LZ,6.626553250819431,6.229196130896825,35.0,3.0,2.0,20.0,6.0,0.00015896890323685144,0.0009538134194211086,12,3.0346516547895055,9.10349597585513,0.3333501396428582,10.256455399061032,2.6632344078203642,0,12.0,9.5,5.003998070332149,0.9400356256288336,0.4899617221421683,0.9694416099343619,0.6819015203093446,0.09874330641663294,0.00015545578021475636,0.3678420107240727
PT0002000033085062AW,2.6323282716731087,3.2561226262172887,19.504,1.218,0.0,9.996,3.456,0.8228352715311151,0.02627878254276875,11,1.0066977546515294,3.5661811731315036,0.28229013215487786,3.823258278145695,4.163934349110405,1,11.0,0.0,3.1684377439549727,1.2369743778756348,3.0319383872780197,0.9660371270336081,0.5663021972711677,0.2596413532798659,0.00580730197686723,2.5900801504664805
PT0002000033094187PL,0.7496075381546008,0.6902602004312575,4.668,0.412,0.168,2.244,0.8719999999999999,0.03771231519864999,0.0005013634640546853,9,0.47686633728099687,0.9210307491289197,0.517752895581392,0.6926329268292684,0.6553788363885219,1,9.0,8.0,0.4469600992193923,0.9208287874619754,0.7655005038336835,0.9524284062742974,0.5038557547756949,-0.0837770524130697,-0.0012114459991203837,0.5514805286659282
PT0002000033171958DG,1.1117333944113605,1.1411550659543443,7.58,0.424,0.352,3.588,1.104,0.4661090526676205,0.00041576482385022686,10,0.713477346112889,1.4039618524332809,0.5081885557476676,1.3137582417582419,2.6632344078203642,0,10.0,9.5,0.889956508881168,1.0264646827115973,1.34962765864909,0.9744222507549498,0.5518494942799653,0.21479177534795374,0.0037746987402892014,1.189010618274229
PT0002000033186037TF,7.345530692463113,5.3803351415611385,27.604,6.16,1.412,19.6,5.752000000000001,0.0013695782432713356,1.2228377172065495e-05,11,4.2873426533982855,9.520169044821218,0.4503431223976547,9.436673325499413,5.959755411496377,1,11.0,13.0,2.382339145806545,0.7324637751608111,0.456196745085361,0.976223082151401,0.6990706918448307,-0.837342136728661,-0.001190673898689536,0.4594538103004567
PT0002000033254603ZX,3.997360121997713,4.617515245956159,25.232,1.36,0.296,13.34,6.824,0.037749000330166184,0.0007826161390121917,12,4.144582701336194,4.340379181184669,0.954889544974033,6.5694536585365855,4.647162377100185,1,12.0,22.0,3.400062384363688,1.155141169429718,0.800517986550049,0.9692890260035786,0.7411428424230815,0.0025194470882336,6.832213863621739e-06,0.6816468084462247
PT0002000053093191SV,0.760175025713866,0.6132019730318499,3.552,0.584,0.164,1.956,1.016,0.001332893111755139,0.0004646783325384888,15,0.6573783545562671,0.8325185496055061,0.7896260748397376,0.30608026281511214,0.6578228779857384,1,15.0,16.0,0.1641290897891684,0.8066589302325521,0.7589543891602777,0.9883667205280198,0.8821007794920497,-0.0018706213410998463,-2.5702146712637856e-05,0.7241695274310926
PT0002000065256275YB,0.0019012306373599464,0.021729206081286385,0.612,0.0,0.0,0.0,0.0,0.0013695782432713356,0.9827579881873877,20,0.00012230275039685863,0.0029215208997817287,0.04186269911880352,0.010381903642773173,0.0032245549037462906,1,20.0,16.0,0.0017030237925803819,11.429021631725657,2.3027246172326343,0.6074739702693378,0.0033202143060820297,-6.55545132498138e-05,-0.00036014787588939596,0.877509496101453
PT0002000065523872AA,0.04424235003122436,0.07805913249610451,2.244,0.008,0.004,0.204,0.072,0.0013451214889272044,0.6660919329395796,16,0.021671911377675657,0.05722083263387607,0.37874162923042437,0.0568636897767333,0.054177428226792945,1,16.0,9.0,0.03930671337763709,1.7643532145334437,1.2157241348006966,0.9517995669169086,0.39981644019000095,0.007713235073191632,0.0018209616891215015,0.8822657244005704
PT0002000066469574LZ,0.728156428931336,0.2096351963400837,5.844,0.708,0.464,1.008,0.20399999999999996,0.46608459591327633,0.0004646783325384888,14,0.6985988825270358,0.7429026687598116,0.9403639425515381,0.10357362637362633,2.6632344078203642,0,14.0,9.5,0.013180866708210929,0.28789857235450156,0.975378094472122,0.852432203551539,0.5514411361928744,0.11650618967586779,0.0031258613922901584,1.0476962227092628
